School,CLIx Code,District
zphs nadikuda,1094,Warrangal
ZPHS VARIKOLE,1095,Warrangal
ZPHS KODAKANDLA,1096,Warrangal
GOVT HS NARSAMPET,1097,Warrangal
ZPHS BOYS NARSAMPET,1098,Warrangal
ZPHS GIRLS  NARSAMPET,1099,Warrangal
ZPHS LAKNEPALLY,1100,Warrangal
ZPHS Ramadugu,2002,Karimnagar
Zphs Peddalingapoor,2003,Karimnagar
Zphs Galipally,2004,Karimnagar
Zphs kanagarthi,2005,Karimnagar
Zphs Pothakapally,2006,Karimnagar
ZPHS Bandalingampally,2007,Karimnagar
ZPHS Gopalraopeta,2008,Karimnagar
ZPHS KOREM,2009,Karimnagar
Zphs NOOKALAMARRY,2010,Karimnagar
Zphs Dacharam,2011,Karimnagar
ZPHS KATNAPALLY,2012,Karimnagar
ZPHS METPALLY,2013,Karimnagar
Govt High school,2014,Karimnagar
Zphs Gannervaram,2015,Karimnagar
ZPHS Lingannapet,2016,Karimnagar
Zphs ellandakunta,2017,Karimnagar
"ZPHS 
( boys) GAMBHIRAOPET",2018,Karimnagar
ZPHS RacharlaBoppapur,2019,Karimnagar
"TTWR 
SCHOOL(Girls)Dumala",2020,Karimnagar
ZPHS Narsingapur,2021,Karimnagar
ZPHS Baswapur,2022,Karimnagar
"Zphs 
Tssw boys jammikunta",2023,Karimnagar
ZPHS ARNAKONDA,2024,Karimnagar
ZPHS RUDRAVARAM,2025,Karimnagar
ZPHS Molangur,2026,Karimnagar
ZPHS (Girls)Kodimial,2027,Karimnagar
Zphs g vemulawada,2028,Karimnagar
ZPHS VILASAGAR,2029,Karimnagar
GHS(G) Mukarampura,2030,Karimnagar
ZPHS Kannapur,2031,Karimnagar
ZPHS Boinpalli,2032,Karimnagar
Zphs Janagapally,2033,Karimnagar
ZPHS KODURUPAKA,2034,Karimnagar
Zphs lmd colony t/m,2035,Karimnagar
Zphs nustulapur,2036,Karimnagar
Zphs Vallampatla,2037,Karimnagar
ZPHS SIRSAPALLY,2038,Karimnagar
GHS HUZURABAD,2039,Karimnagar
Zphs kolanor,2040,Karimnagar
ZPHS BORNAPALLY,2041,Karimnagar
Zphs girls jammikunta,2042,Karimnagar
Zphs.eligaid,2043,Karimnagar
ZPHS (B) UPPAL,2044,Karimnagar
ZPHS (G) UPPAL,2045,Karimnagar
ZpHS Challur,2046,Karimnagar
ZPHS Gajasingavaram,2047,Karimnagar
"ZPHS
 MARRIPALLYGUDEM",2048,Karimnagar
Zphs rachapalli,2049,Karimnagar
,2050,
ZPHS(B) Peddapalli,2051,Karimnagar
ZPHS Moodapally,2052,Karimnagar
Zphs basanthnagar,2053,Karimnagar
Zphs jayyaram,2054,Karimnagar
ZPHS Racharla Gollapally ,2055,Karimnagar
ZPHS Yellareddypet,2056,Karimnagar
ZPHS Mallial,2057,Karimnagar
ZPHS DHARMARAM,2058,Karimnagar
ZPHS NIMMAPALLY,2059,Karimnagar
Zphs NTPC jyothinagar,2060,Karimnagar
"Zphs
 girls godavarikani",2061,Karimnagar
ZPHS Wadkapur,2062,Karimnagar
ZPHS Peddapur,2063,Karimnagar
GHS Old High School,2064,Karimnagar
ZPHS ALLIPUR,2065,Karimnagar
ZPHS (G) RAIKAL,2066,Karimnagar
ZPHS CHILVAKODUR,2067,Karimnagar
ZPHS Bhupathipur,2068,Karimnagar
Zphs Kandikatkoor,2069,Karimnagar
Zphs sriramulapally,2070,Karimnagar
ZPHS PACHUNUR,2071,Karimnagar
ZPHS VELDHI,2072,Karimnagar
ZPHS Mallareddypet,2073,Karimnagar
Zphs Hanmajipet,2074,Karimnagar
Zphs ODELA,2075,Karimnagar
ZPHS SHANIGARAM,2076,Karimnagar
ZPHS GANGIPALLY,2077,Karimnagar
Zphs vavilala,2078,Karimnagar
ZPHS VARSHAKONDA,2079,Karimnagar
GHS DHANGARWADI,2080,Karimnagar
Zphs gundaram,2081,Karimnagar
Zphs Nagunnor,2082,Karimnagar
ZPHS Venkatapur ,2083,Karimnagar
Zphs.dhoolikatt,2084,Karimnagar
Zphs.sulthanpur,2085,Karimnagar
ZPHS (G) KAMALAPUR,2086,Karimnagar
ZPHS Ghanmukla,2087,Karimnagar
ZPHS Kothapally,2088,Karimnagar
ZPHS ANTHERGOAM,2089,Karimnagar
ZPHS POTYALA,2090,Karimnagar
Zphs korapally,2091,Karimnagar
Zphs kurikyal,2092,Karimnagar
ZPHS THATLAWAI,2093,Karimnagar
ZPHS (G) CHOPPADANDI,2094,Karimnagar
Zphs peddabonkoor,2095,Karimnagar
ZPHS Potharam,2096,Karimnagar
ZPHS GUDUR,2097,Karimnagar
ZPHS Sanugula,2098,Karimnagar
Zphs Thotapally,2099,Karimnagar
ZPHS Thippaipally,2100,Karimnagar
T.S.W.R.M School,3001,rangareddy
ZPHS KANDAWADA,3002,rangareddy
ZPHS Mall,3003,rangareddy
Zphs Janwada,3004,rangareddy
Zphs sardar nagar,3005,rangareddy
ZPHS GHATKESAR G,3006,rangareddy
ZPHS URELLA,3007,rangareddy
ZPHS MIRKHANPET,3008,rangareddy
ZPHS B MANCHAL,3009,rangareddy
ZPHS Chilkoor,3010,rangareddy
ZPHS THIMMAPOOR,3011,rangareddy
ZPHS Himayatnagar,3012,rangareddy
ZPHS Nandiwanaparthy,3013,rangareddy
ZPHS Venkatapur,3014,rangareddy
ZPHS Maharajpet,3015,rangareddy
ZPHS MALKAPUR,3016,rangareddy
ZPHS Chinnathundla,3017,rangareddy
ZPHS EDULABAD,3018,rangareddy
Zphs thallapally,3019,rangareddy
ZPHS MANCHANPALLY,3020,rangareddy
ZPHS PEDDA UMMENTHAL,3021,rangareddy
ZPHS Medipally Nakkartha,3022,rangareddy
ZPHS Yacharam,3023,rangareddy
Zphs shabad boys,3024,rangareddy
Zphs naskal,3025,rangareddy
ZPHS ANGADICHITTEMPALLY,3026,rangareddy
ZPHS Korremul,3027,rangareddy
ZPHS NEDUNOOR,3028,rangareddy
Zphs hythabad,3029,rangareddy
ZPHS RANGAPUR,3030,rangareddy
ZPHS MARPALLY UM,3031,rangareddy
ZPHS Aziznagar,3032,rangareddy
ZPHS LEMOOR,3033,rangareddy
ZPHS ALOOR(G),3034,rangareddy
ZPHS.Mothkur,3035,rangareddy
ZPHS ARUTLA,3036,rangareddy
TS MODEL SCHOOL,3037,rangareddy
ZPHS (B) THUKKUGUDA,3038,rangareddy
ZPHS G GANDEED,3039,rangareddy
ZPHS SAROORNAGAR,3040,rangareddy
ZPHS KANDANELLY,3041,rangareddy
ZPHS PULIMAMIDI,3042,rangareddy
Zphs shabad girls,3043,rangareddy
ZPHS SHERIGUDA,3044,rangareddy
ZPHS PUDUR,3045,rangareddy
Zphs regadi doswada,3046,rangareddy
Zphs Badangpet,3047,rangareddy
Zphs parveda,3048,rangareddy
ZPHS MANNEGUDA,3049,rangareddy
ZPHS (B)MAHESHWARAM,3050,rangareddy
,3051,
,3052,
,3053,
,3054,
,3055,
,3056,
,3057,
,3058,
,3059,
,3060,
,3061,
,3062,
,3063,
,3064,
,3065,
,3066,
,3067,
,3068,
,3069,
,3070,
,3071,
,3072,
,3073,
,3074,
,3075,
,3076,
,3077,
,3078,
,3079,
,3080,
"Govt. Sr. Sec. School near tample, padampura",1001,Jaipur
"Govt. Sr. Sec. School, chaapradi",1002,Jaipur
"Govt. Sr. Sec. School, bhagawas chorsi",1003,Jaipur
"Govt. Sr. Sec. School, bhonawas",1004,Jaipur
"Govt. Adarsh Sr. Sec. School, taskola",1005,Jaipur
"Govt. Adarsh Sr. Sec. School, mohabbatpura",1006,Jaipur
"Govt. Adarsh Sr. Sec. School, harsolia",1007,Jaipur
"Govt. Adarsh Sr. Sec. School, Gohandi",1008,Jaipur
"Govt. Adarsh Sr. Sec. School, nevar, dhula via banshka",1009,Jaipur
"Govt. Sec. School, Dhaupura",1010,Jaipur
"Govt. Sr. Sec. School, Tholai",1011,Jaipur
"Govt. Sr. Sec. School, nidadh, jhotwara",1012,Jaipur
"Govt. Sr. Sec. School, Jawahar nagar",1013,Jaipur
"Govt. Sec. School, Mandi khatikan",1014,Jaipur
"Govt. Sec. School, Rajpur vaas tala",1015,Jaipur
"Govt. Sec. School, kunthada kalan, Bassi",1016,Jaipur
"Govt. Sec. School, hanutpura",1017,Jaipur
"Govt. Sr. Sec. School, labor colony, bani park",1018,Jaipur
"Govt. Girls Sr. Sec. School, nari ka naka, sastrinagar",1019,Jaipur
"Govt. Sr. Sec. School, charan nadi, dadi ka fatak",1020,Jaipur
"Govt. Adarsh Sr. Sec. School, rampura dabdi",1021,Jaipur
"Govt. Adarsh Sr. Sec. School, Khorashymdas,Jalsu",1022,Jaipur
"Govt. Sr. Sec. School, Nivaru road jaipur",1023,Jaipur
"Govt. girls Sr. Sec. School, raval ji ka bag",1024,Jaipur
"Govt. Sr. Sec. School, chakbasdi, Jhotwada",1025,Jaipur
"Govt. Sr. Sec. School, goukulpura",1026,Jaipur
"Govt. Sr. Sec. School, goliyawas",1027,Jaipur
"Govt. Adarsh Sr. Sec. School, mansarovar",1028,Jaipur
"Govt. Adarsh Sr. Sec. School,Barodiya Viratnagar",1029,Jaipur
"Govt. Sr. Sec. School, Rojdi via phulera, Dudu",1030,Jaipur
"Govt. Sr. Sec. School, sakuhooa, Hatupura, Dudu",1031,Jaipur
"Govt. Sec. School, Sunadiya,chhaparwada, Dudu",1032,Jaipur
"Govt. Sr. Sec. School, Kachroda, Dudu",1033,Jaipur
"Govt. Girls Sec. School, Shubash chok narayana",1034,Jaipur
"Govt. Sr. Sec. School, Garudwasi",1035,Jaipur
Govt. Girl sec. school sheetala dungri,1036,Jaipur
Govt. sr. Sec. School Radoli,1037,Jaipur
Govt. Sec. School Mahadevpura,1038,Jaipur
"Govt. Sr. Sec. School, Ramnagar",1039,Jaipur
"Govt. Sr. Sec. School, Agra Road Paldi Meena",1040,Jaipur
"Govt. Adarsh Sr. Sec. School, Agra road Jhar",1041,Jaipur
"Govt. Adarsh Sr. Sec. School, Sambharia",1042,Jaipur
"Govt. Girl Sr. Sec. School, Goner, near Jagdish temple",1043,Jaipur
"Govt. Adarsh Sr. Sec. School, Vidhani",1044,Jaipur
"Govt. Girl Sr. Sec. School, Durgapura",1045,Jaipur
"Govt. Sr. Sec. School, Govindgadh",1046,Jaipur
"Govt. Adarsh Sr. Sec. School, Hadota",1047,Jaipur
"Govt. Maheshwari Sec. School, Chomu",1048,Jaipur
"Govt. Adarsh Sr. Sec. School, Jayatpura",1049,Jaipur
"Govt. Sec. School, dabla bujurag",1050,Jaipur
"Govt.Girls Sr. School, Mandar",2001,Sirohi
"Govt. Girls Sec. school, jawal",2002,Sirohi
"Govt. sec. Sr. school, bhootgaon",2003,Sirohi
"Govt. Sr. Sec. school, haliwada",2004,Sirohi
"Govt. Sr. Sec. school, aamlari",2005,Sirohi
"Govt. Sr. Sec. school, mandwariya",2006,Sirohi
"Govt. Sr. Sec. school, fugni",2007,Sirohi
"Govt. Adarsh sr. sec. School, madiya",2008,Sirohi
"Govt. Sr. Se. school, Manora",2009,Sirohi
"Govt. Sr. sec. school, rukhada, shivganj",2010,Sirohi
"Govt. Sr. sec. school, sanpur",2011,Sirohi
"Govt. Sec. School, deldar, mandh",2012,Sirohi
"Govt. Adarsh sr. Sec. School, Sorda",2013,Sirohi
"Govt. Adarsh Sr. Sec. School, magriawada",2014,Sirohi
"Govt. Sr. Sec. school, Jeerawal",2015,Sirohi
"Govt. Sr.Sec school, Datrai",2016,Sirohi
"Govt. Sr.Sec School, Chiwagoan",2017,Sirohi
"Govt. Sr. sec. school, Jogapura(Purana)",2018,Sirohi
"Govt. Sr.Sec school, Aalpa",2019,Sirohi
"Govt. Sec. school, chota lakmawa, shivganj, sirohi",2020,Sirohi
"Govt.Ser.school, keasrpura",2021,Sirohi
"Govt. Sec. school, shivganj",2022,Sirohi
,2023,
,2024,
,2025,
,2026,
,2027,
,2028,
,2029,
,2030,
,2031,
,2032,
,2033,
,2034,
,2035,
,2036,
,2037,
,2038,
,2039,
,2040,
,2041,
,2042,
,2043,
,2044,
,2045,
,2046,
,2047,
,2048,
,2049,
,2050,
,,
,,
,,
,,
,,
GOVT. MIZO HIGH SCHOOL,1001,Mizoram
GOVT. CHAWNPUI HIGH SCHOOL,1002,Mizoram
GOVT. K.M. HIGH SCHOOL,1003,Mizoram
GOVT. SAKAWRTUICHHUN HIGH SCHOOL,1004,Mizoram
GOVT. JL HIGH SCHOOL,1005,Mizoram
GOVT. KULIKAWN HIGH SCHOOL,1006,Mizoram
TUIKUAL SOUTH HIGH SCHOOL(ADHOC),1007,Mizoram
GOVT. AIZAWL HIGH SCHOOL,1008,Mizoram
GOVT. HRANGCHHUANA HIGH SCHOOL,1009,Mizoram
GOVT. GORKHA HIGH SCHOOL,1010,Mizoram
GOVT. BAWNGKAWN HIGH SCHOOL,1011,Mizoram
GOVT. BUNGKAWN HIGH SCHOOL,1012,Mizoram
GOVT. MELRIAT HIGH SCHOOL,1013,Mizoram
GOVT. PIANGHLEIA HIGH SCHOOL,1014,Mizoram
GOVT. ZEMABAWK HIGH SCHOOL,1015,Mizoram
GOVT. MAMAWII HIGH SCHOOL,1016,Mizoram
GOVT. BETHLEHEM VENGTHLANG HIGH SCHOOL,1017,Mizoram
GOVT. COMPREHENSIVE MODEL HIGH SCHOOL,1018,Mizoram
GOVT. CHALTLANG HIGH SCHOOL,1019,Mizoram
GOVT. DINTHAR HIGH SCHOOL,1020,Mizoram
GOVT. HRANGCHHUNGA HIGH SCHOOL,1021,Mizoram
RAMHLUN SOUTH HIGH SCHOOL(ADHOC),1022,Mizoram
GOVT. REPUBLIC HIGH SCHOOL,1023,Mizoram
GOVT. TANHRIL HIGH SCHOOL,1024,Mizoram
GOVT. DURTLANG HIGH SCHOOL,1025,Mizoram
GOVT. KVM HIGH SCHOOL,1026,Mizoram
GOVT. SIHPHIR HIGH SCHOOL,1027,Mizoram
GOVT. CENTRAL HIGH SCHOOL,1028,Mizoram
GOVT. MAUBAWK HIGH SCHOOL,1029,Mizoram
GOVT. SAIRANG HIGH SCHOOL,1030,Mizoram
Dr.S.R.Dewangan Govt.H.S.SchoolDhamtari,1001,Chhattisgarh
 Govt.Model Girls H.S.School Dhamtari,1002,Chhattisgarh
Govt.High School Gokulpur Ward Dhamatri,1003,Chhattisgarh
 Govt.H.S.School Sambalpur,1004,Chhattisgarh
Govt.H.School Shankardah,1005,Chhattisgarh
 Govt.High School Rudri,1006,Chhattisgarh
Govt.H.S.School Khathuli,1007,Chhattisgarh
Govt.H.S.School Aamdi,1008,Chhattisgarh
 Govt.H.S.School Doma,1009,Chhattisgarh
 Govt.H.S.School Kharenga,1010,Chhattisgarh
 Govt.H.S.School Bagtarai,1011,Chhattisgarh
Govt.H.S.School Kurra,1012,Chhattisgarh
Govt.H.S.School Gopalpuri,1013,Chhattisgarh
 Govt.H.S.School Maroud,1014,Chhattisgarh
 Govt.H.S.School Darba,1015,Chhattisgarh
 Govt.H.S.School Sivanikala,1016,Chhattisgarh
 Govt.H.S.School Ji.Jamgoan,1017,Chhattisgarh
 Govt.H.S.School Bhatagaon,1018,Chhattisgarh
Govt.H.S.School Sirri,1019,Chhattisgarh
Govt.H.S. School Charra,1020,Chhattisgarh
Govt.High School Thooha,1021,Chhattisgarh
Govt.H.S.School Atang,1022,Chhattisgarh
 Govt.H.S.School Gatapar,1023,Chhattisgarh
 Govt.High School Rampur,1024,Chhattisgarh
Govt.H.S.School Kachana,1025,Chhattisgarh
 Govt.H.S.School Bhendara,1026,Chhattisgarh
 Govt.H.S.School Joratarai,1027,Chhattisgarh
 Govt.H.S.School Korra,1028,Chhattisgarh
 Govt.H.S.School Nari,1029,Chhattisgarh
 Govt.H.S.School Soram,1030,Chhattisgarh
,1031,
,1032,
,1033,
,1034,
